Scientific name,Status url,Primary common name,Class,Order,Family,Global conservation status rank,State conservation status rank,Federal protection,State protection,Species of greatest conservation need,Track status code,Animal / Plant,Guide url,NatureServe Explorer
Alburnops chalybaeus,https://guides.nynhp.org/status/2.100254/,Ironcolor Shiner,Actinopterygii (Ray-finned Fishes),Cypriniformes (Minnows and Suckers),Leuciscidae,G4,S1,,Threatened,Yes,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100254/Alburnops_chalybaeus/
Alca torda,https://guides.nynhp.org/status/2.100936/,Razorbill,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)",Alcidae,G5,SNRN,,Protected Bird,Yes,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100936/Alca_torda/
Alces alces,https://guides.nynhp.org/status/2.104982/,Moose,Mammalia (Mammals),Artiodactyla (Even-toed Hoofed Mammals),Cervidae,G5,S3S4,,Game with no open season,Yes,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104982/Alces_alces/
Aletris farinosa,https://guides.nynhp.org/status/2.141280/,White Colicroot,Monocotyledoneae (Monocots),Dioscoreales,Nartheciaceae,G5,S2,,Threatened,,Y,P,https://guides.nynhp.org/stargrass/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.141280/Aletris_farinosa/
Alle alle,https://guides.nynhp.org/status/2.103393/,Dovekie,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)",Alcidae,G5,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103393/Alle_alle/
Allium burdickii,https://guides.nynhp.org/status/2.155701/,Burdick's Wild Leek,Monocotyledoneae (Monocots),Asparagales,Amaryllidaceae,G5T5,SH,,Endangered,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.155701/Allium_burdickii/
Allium cernuum,https://guides.nynhp.org/status/2.157568/,Nodding Onion,Monocotyledoneae (Monocots),Asparagales,Amaryllidaceae,G5,S2,,Threatened,,Y,P,https://guides.nynhp.org/nodding-wild-onion/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157568/Allium_cernuum/
Allium schoenoprasum,https://guides.nynhp.org/status/2.160634/,Wild Chives,Monocotyledoneae (Monocots),Asparagales,Amaryllidaceae,G5,S1,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.160634/Allium_schoenoprasum/
Allocapnia curiosa,https://guides.nynhp.org/status/2.112121/,,Insecta (Insects),Plecoptera (Stoneflies),Capniidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112121/Allocapnia_curiosa/
Allocapnia frisoni,https://guides.nynhp.org/status/2.117957/,,Insecta (Insects),Plecoptera (Stoneflies),Capniidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117957/Allocapnia_frisoni/
Allocapnia granulata,https://guides.nynhp.org/status/2.108104/,,Insecta (Insects),Plecoptera (Stoneflies),Capniidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108104/Allocapnia_granulata/
Allocapnia illinoensis,https://guides.nynhp.org/status/2.113850/,Illinois Stonefly,Insecta (Insects),Plecoptera (Stoneflies),Capniidae,G3,SNR,,,Yes,Y,A,https://guides.nynhp.org/illinois-stonefly/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113850/Allocapnia_illinoensis/
Allocapnia indianae,https://guides.nynhp.org/status/2.114373/,,Insecta (Insects),Plecoptera (Stoneflies),Capniidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114373/Allocapnia_indianae/
Allocapnia maria,https://guides.nynhp.org/status/2.107501/,,Insecta (Insects),Plecoptera (Stoneflies),Capniidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107501/Allocapnia_maria/
Allocapnia minima,https://guides.nynhp.org/status/2.106804/,,Insecta (Insects),Plecoptera (Stoneflies),Capniidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106804/Allocapnia_minima/
Allocapnia nivicola,https://guides.nynhp.org/status/2.116863/,,Insecta (Insects),Plecoptera (Stoneflies),Capniidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116863/Allocapnia_nivicola/
Allocapnia ohioensis,https://guides.nynhp.org/status/2.117155/,,Insecta (Insects),Plecoptera (Stoneflies),Capniidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117155/Allocapnia_ohioensis/
Allocapnia pechumani,https://guides.nynhp.org/status/2.111387/,,Insecta (Insects),Plecoptera (Stoneflies),Capniidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111387/Allocapnia_pechumani/
Allocapnia pygmaea,https://guides.nynhp.org/status/2.116389/,,Insecta (Insects),Plecoptera (Stoneflies),Capniidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116389/Allocapnia_pygmaea/
Allocapnia recta,https://guides.nynhp.org/status/2.802050/,,Insecta (Insects),Plecoptera (Stoneflies),Capniidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.802050/Allocapnia_recta/
Allocapnia rickeri,https://guides.nynhp.org/status/2.113136/,,Insecta (Insects),Plecoptera (Stoneflies),Capniidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113136/Allocapnia_rickeri/
Allocapnia vivipara,https://guides.nynhp.org/status/2.113644/,,Insecta (Insects),Plecoptera (Stoneflies),Capniidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113644/Allocapnia_vivipara/
Allocapnia zola,https://guides.nynhp.org/status/2.114956/,,Insecta (Insects),Plecoptera (Stoneflies),Capniidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114956/Allocapnia_zola/
Allogona profunda,https://guides.nynhp.org/status/2.119169/,Broad-banded Forestsnail,Gastropoda (Gastropods),Stylommatophora,Polygyridae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119169/Allogona_profunda/
Allograpta obliqua,https://guides.nynhp.org/status/2.908169/,,Insecta (Insects),Diptera (Flies and Keds),Syrphidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.908169/Allograpta_obliqua/
Alloperla atlantica,https://guides.nynhp.org/status/2.109593/,,Insecta (Insects),Plecoptera (Stoneflies),Chloroperlidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109593/Alloperla_atlantica/
Alloperla banksi,https://guides.nynhp.org/status/2.111658/,,Insecta (Insects),Plecoptera (Stoneflies),Chloroperlidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111658/Alloperla_banksi/
Alloperla chloris,https://guides.nynhp.org/status/2.106865/,,Insecta (Insects),Plecoptera (Stoneflies),Chloroperlidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106865/Alloperla_chloris/
Alloperla concolor,https://guides.nynhp.org/status/2.111662/,,Insecta (Insects),Plecoptera (Stoneflies),Chloroperlidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111662/Alloperla_concolor/
Alloperla idei,https://guides.nynhp.org/status/2.119817/,,Insecta (Insects),Plecoptera (Stoneflies),Chloroperlidae,G3,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119817/Alloperla_idei/
Alloperla imbecilla,https://guides.nynhp.org/status/2.108403/,,Insecta (Insects),Plecoptera (Stoneflies),Chloroperlidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108403/Alloperla_imbecilla/
Alloperla nanina,https://guides.nynhp.org/status/2.116919/,,Insecta (Insects),Plecoptera (Stoneflies),Chloroperlidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116919/Alloperla_nanina/
Alloperla petasata,https://guides.nynhp.org/status/2.831899/,Woodlands Sallfly,Insecta (Insects),Plecoptera (Stoneflies),Chloroperlidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.831899/Alloperla_petasata/
Alloperla voinae,https://guides.nynhp.org/status/2.112626/,Lawrence Sallfly,Insecta (Insects),Plecoptera (Stoneflies),Chloroperlidae,G3,SNR,,,Yes (potential),Y,A,https://guides.nynhp.org/lawrence-sallfly/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112626/Alloperla_voinae/
Alloperla vostoki,https://guides.nynhp.org/status/2.113982/,Scotia Sallfly,Insecta (Insects),Plecoptera (Stoneflies),Chloroperlidae,G3,SNR,,,Yes (potential),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113982/Alloperla_vostoki/
Alnus viridis ssp. crispa,https://guides.nynhp.org/status/2.816772/,,Dicotyledoneae (Dicots),Fagales,Betulaceae (Birch Family),G5T5,S3,,,,W,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.816772/Alnus_viridis_ssp_crispa/
Alopias vulpinus,https://guides.nynhp.org/status/2.104673/,Thresher Shark,Chondrichthyes (Cartilaginous Fishes),Lamniformes,Alopiidae (thresher sharks),GNR,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104673/Alopias_vulpinus/
Alosa aestivalis,https://guides.nynhp.org/status/2.100843/,Blueback Herring,Actinopterygii (Ray-finned Fishes),Clupeiformes (Anchovies and Herrings),Alosidae,G3G4,S3,,Game with open season,Yes,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100843/Alosa_aestivalis/
Alosa mediocris,https://guides.nynhp.org/status/2.103525/,Hickory Shad,Actinopterygii (Ray-finned Fishes),Clupeiformes (Anchovies and Herrings),Alosidae,G4,S2,,Game with open season,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103525/Alosa_mediocris/
Alosa pseudoharengus,https://guides.nynhp.org/status/2.106128/,Alewife,Actinopterygii (Ray-finned Fishes),Clupeiformes (Anchovies and Herrings),Alosidae,G5,S5,,Game with open season,Yes,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106128/Alosa_pseudoharengus/
Alosa sapidissima,https://guides.nynhp.org/status/2.101354/,American Shad,Actinopterygii (Ray-finned Fishes),Clupeiformes (Anchovies and Herrings),Alosidae,G5,S2S3,,Game with open season,Yes (high priority),,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101354/Alosa_sapidissima/
Alosternida chalybaea,https://guides.nynhp.org/status/2.1256507/,,Insecta (Insects),"Coleoptera (Beetles, Weevils)",Cerambycidae (Longhorn Beetles),GNR,SH,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1256507/Alosternida_chalybaea/
Aluterus schoepfii,https://guides.nynhp.org/status/2.102445/,Orange Filefish,Actinopterygii (Ray-finned Fishes),Tetraodontiformes,Monacanthidae (filefishes),G5,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102445/Aluterus_schoepfii/
Amaranthus pumilus,https://guides.nynhp.org/status/2.141860/,Seabeach Amaranth,Dicotyledoneae (Dicots),Caryophyllales,Amaranthaceae (Amaranth Family),G2,S2,Threatened,Threatened,,Y,P,https://guides.nynhp.org/seabeach-amaranth/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.141860/Amaranthus_pumilus/
Amblema plicata,https://guides.nynhp.org/status/2.118891/,Threeridge,Bivalvia (Bivalves),Unionoida (Freshwater Mussels),Unionidae (Unionid Mussels),G5,S1S2,,,Yes,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118891/Amblema_plicata/
Ambloplites rupestris,https://guides.nynhp.org/status/2.105635/,Rock Bass,Actinopterygii (Ray-finned Fishes),Centrarchiformes,Centrarchidae (sunfishes and freshwater basses),G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105635/Ambloplites_rupestris/
Amblyodon dealbatus,https://guides.nynhp.org/status/2.125948/,Whitewashed Thread Moss,Bryopsida,Bryales,Meesiaceae,G3G5,SH,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.125948/Amblyodon_dealbatus/
Amblyomma maculatum,https://guides.nynhp.org/status/2.974192/,,Arachnida (Arachnids),Ixodida,Ixodidae,GNR,SNA,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.974192/Amblyomma_maculatum/
Amblyraja radiata,https://guides.nynhp.org/status/2.102951/,Thorny Skate,Chondrichthyes (Cartilaginous Fishes),Rajiformes,Rajidae (skates),GNR,S2,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102951/Amblyraja_radiata/
Amblyscirtes hegon,https://guides.nynhp.org/status/2.118808/,Pepper and Salt Skipper,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Hesperiidae (Skippers),G5,S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118808/Amblyscirtes_hegon/
Amblyscirtes vialis,https://guides.nynhp.org/status/2.107727/,Common Roadside-skipper,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Hesperiidae (Skippers),G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107727/Amblyscirtes_vialis/
Ambystoma hybrid pop. 1,https://guides.nynhp.org/status/2.103721/,Silvery Salamander,Amphibia (Amphibians),Caudata (Salamanders),Ambystomatidae (Mole Salamanders),GNA,S4?,,Game with no open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103721/Ambystoma_hybrid_pop_1/
Ambystoma hybrid pop. 2,https://guides.nynhp.org/status/2.106066/,Tremblay's Salamander,Amphibia (Amphibians),Caudata (Salamanders),Ambystomatidae (Mole Salamanders),GNA,S4?,,Game with no open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106066/Ambystoma_hybrid_pop_2/
Ambystoma jeffersonianum,https://guides.nynhp.org/status/2.100401/,Jefferson Salamander,Amphibia (Amphibians),Caudata (Salamanders),Ambystomatidae (Mole Salamanders),G3G4,S4,,Special Concern,Yes (potential),,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100401/Ambystoma_jeffersonianum/
Ambystoma jeffersonianum x laterale,https://guides.nynhp.org/status/2.103847/,Jefferson Salamander Complex,Amphibia (Amphibians),Caudata (Salamanders),Ambystomatidae (Mole Salamanders),GUQ,SNA,,Game with no open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103847/Ambystoma_jeffersonianum_x_laterale/
Ambystoma laterale,https://guides.nynhp.org/status/2.102149/,Blue-spotted Salamander,Amphibia (Amphibians),Caudata (Salamanders),Ambystomatidae (Mole Salamanders),G5,S3,,Special Concern,Yes (high priority),W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102149/Ambystoma_laterale/
Ambystoma maculatum,https://guides.nynhp.org/status/2.104612/,Spotted Salamander,Amphibia (Amphibians),Caudata (Salamanders),Ambystomatidae (Mole Salamanders),G5,S5,,Game with no open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104612/Ambystoma_maculatum/
Ambystoma opacum,https://guides.nynhp.org/status/2.104610/,Marbled Salamander,Amphibia (Amphibians),Caudata (Salamanders),Ambystomatidae (Mole Salamanders),G4G5,S3,,Special Concern,Yes,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104610/Ambystoma_opacum/
Ambystoma tigrinum,https://guides.nynhp.org/status/2.889738/,Tiger Salamander,Amphibia (Amphibians),Caudata (Salamanders),Ambystomatidae (Mole Salamanders),G5,S1S2,,Endangered,Yes (high priority),Y,A,https://guides.nynhp.org/tiger-salamander/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.889738/Ambystoma_tigrinum/
Ameiurus catus,https://guides.nynhp.org/status/2.104778/,White Catfish,Actinopterygii (Ray-finned Fishes),Siluriformes (Catfishes),Ictaluridae (North American Freshwater Catfishes),G5,S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104778/Ameiurus_catus/
Ameiurus melas,https://guides.nynhp.org/status/2.104669/,Black Bullhead,Actinopterygii (Ray-finned Fishes),Siluriformes (Catfishes),Ictaluridae (North American Freshwater Catfishes),G5,S1,,Special Concern,Yes,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104669/Ameiurus_melas/
Ameiurus natalis,https://guides.nynhp.org/status/2.103271/,Yellow Bullhead,Actinopterygii (Ray-finned Fishes),Siluriformes (Catfishes),Ictaluridae (North American Freshwater Catfishes),G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103271/Ameiurus_natalis/
Ameiurus nebulosus,https://guides.nynhp.org/status/2.103081/,Brown Bullhead,Actinopterygii (Ray-finned Fishes),Siluriformes (Catfishes),Ictaluridae (North American Freshwater Catfishes),G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103081/Ameiurus_nebulosus/
Amelanchier nantucketensis,https://guides.nynhp.org/status/2.134869/,Nantucket Juneberry,Dicotyledoneae (Dicots),Rosales,Rosaceae (Rose Family),G3Q,S1,,Endangered,,Y,P,https://guides.nynhp.org/nantucket-juneberry/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134869/Amelanchier_nantucketensis/
Ameletus cryptostimulus,https://guides.nynhp.org/status/2.118597/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Ameletidae,G3G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118597/Ameletus_cryptostimulus/
Ameletus ludens,https://guides.nynhp.org/status/2.111857/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Ameletidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111857/Ameletus_ludens/
Ameletus tarteri,https://guides.nynhp.org/status/2.117085/,Tarter's Comb Minnow Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Ameletidae,G3?,SH,,,Yes,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117085/Ameletus_tarteri/
Ameletus tertius,https://guides.nynhp.org/status/2.111289/,Trinity Comb Minnow Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Ameletidae,G3G4,S1,,,Yes (potential),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111289/Ameletus_tertius/
Americerura scitiscripta,https://guides.nynhp.org/status/2.113224/,,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Notodontidae (Prominent Moths),G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113224/Americerura_scitiscripta/
Amerorchis rotundifolia,https://guides.nynhp.org/status/2.127910/,Round-leaved Orchid,Monocotyledoneae (Monocots),Orchidales,Orchidaceae (Orchid Family),G5,SX,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.127910/Amerorchis_rotundifolia/
Amianthium muscitoxicum,https://guides.nynhp.org/status/2.159886/,Fly Poison,Monocotyledoneae (Monocots),Liliales,Melanthiaceae,G4G5,SX,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159886/Amianthium_muscitoxicum/
Amia ocellicauda,https://guides.nynhp.org/status/2.1281380/,Bowfin,Actinopterygii (Ray-finned Fishes),Amiiformes,Amiidae (bowfins),GNR,S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1281380/Amia_ocellicauda/
Ammocrypta pellucida,https://guides.nynhp.org/status/2.100745/,Eastern Sand Darter,Actinopterygii (Ray-finned Fishes),Perciformes (Perch-like Fishes),Percidae (perches and darters),G4,S2S3,,Special Concern,Yes,Y,A,https://guides.nynhp.org/eastern-sand-darter/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100745/Ammocrypta_pellucida/
Ammodramus bairdii,https://guides.nynhp.org/status/2.102591/,Baird's Sparrow,Aves (Birds),Passeriformes (Perching Birds),Passerellidae,G4,SNA,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102591/Ammodramus_bairdii/
Ammodramus maritimus,https://guides.nynhp.org/status/2.104429/,Seaside Sparrow,Aves (Birds),Passeriformes (Perching Birds),Passerellidae,G4,S2S3B,,Special Concern,Yes (high priority),Y,A,https://guides.nynhp.org/seaside-sparrow/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104429/Ammodramus_maritimus/
Ammodramus savannarum,https://guides.nynhp.org/status/2.100347/,Grasshopper Sparrow,Aves (Birds),Passeriformes (Perching Birds),Passerellidae,G5,S3B,,Special Concern,Yes (high priority),W,A,https://guides.nynhp.org/grasshopper-sparrow/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100347/Ammodramus_savannarum/
Ammodytes americanus,https://guides.nynhp.org/status/2.100339/,American Sand Lance,Actinopterygii (Ray-finned Fishes),Labriformes,Ammodytidae (sand lances),G5,SNRN,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100339/Ammodytes_americanus/
Ammospiza caudacuta,https://guides.nynhp.org/status/2.102378/,Saltmarsh Sparrow,Aves (Birds),Passeriformes (Perching Birds),Passerellidae,G2,S3B,,Protected Bird,Yes (high priority),W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102378/Ammospiza_caudacuta/
Ammospiza leconteii,https://guides.nynhp.org/status/2.100333/,LeConte's Sparrow,Aves (Birds),Passeriformes (Perching Birds),Passerellidae,G5,SNA,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100333/Ammospiza_leconteii/
Ammospiza nelsoni,https://guides.nynhp.org/status/2.103846/,Nelson's Sparrow,Aves (Birds),Passeriformes (Perching Birds),Passerellidae,G5,SNA,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103846/Ammospiza_nelsoni/
Amnicola clarki,https://guides.nynhp.org/status/2.112891/,A Spire Snail,Gastropoda (Gastropods),Littorinimorpha,Amnicolidae,G1Q,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112891/Amnicola_clarki/
Amnicola limosa,https://guides.nynhp.org/status/2.108089/,Mud Amnicola,Gastropoda (Gastropods),Littorinimorpha,Amnicolidae,G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108089/Amnicola_limosa/
